City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
137,San Quintin,30.4833,-115.95,64.11,48,0,8.05,MX,clear sky
138,Lincolnton,35.4737,-81.2545,51.35,33,0,11.99,US,clear sky
139,Chokurdakh,70.6333,147.9167,-30.15,92,17,2.53,RU,few clouds
140,Havoysund,70.9963,24.6622,32.23,62,92,14.16,NO,overcast clouds
141,Kodiak,57.79,-152.4072,26.11,68,0,12.66,US,clear sky
142,Rolla,37.9514,-91.7713,48.15,40,0,5.99,US,clear sky
143,Bayaguana,18.7564,-69.6362,87.35,57,88,7.29,DO,overcast clouds
144,Dikson,73.5069,80.5464,-2.78,93,100,20.98,RU,overcast clouds
145,Fortuna,40.5982,-124.1573,58.93,72,0,5.01,US,clear sky
146,Aden,12.7794,45.0367,76.82,70,23,12.59,YE,few clouds
147,Vaini,-21.2,-175.2,79.81,78,100,12.06,TO,light rain
148,Luis Correia,-2.8792,-41.6669,86.0,79,75,12.66,BR,light rain
149,Talcahuano,-36.7167,-73.1167,69.48,52,0,18.41,CL,clear sky
150,Honavar,14.2833,74.45,72.59,66,3,4.54,IN,clear sky
151,Culpeper,38.5004,-77.9664,34.41,49,100,3.0,US,overcast clouds
152,Klaksvik,62.2266,-6.589,36.52,97,100,34.96,FO,overcast clouds
153,Livingston,55.9029,-3.5226,42.8,76,0,20.71,GB,clear sky
154,Senneterre,48.3835,-77.2328,8.82,87,100,7.87,CA,overcast clouds
155,Coahuayana,18.7333,-103.6833,89.2,28,0,7.2,MX,clear sky
156,General Roca,-39.0333,-67.5833,83.62,12,6,25.95,AR,clear sky
157,Constitucion,-35.3333,-72.4167,67.8,65,7,20.07,CL,clear sky
158,Samarai,-10.6167,150.6667,81.03,77,100,8.88,PG,overcast clouds
159,Egvekinot,66.3167,-179.1667,-1.01,64,53,7.83,RU,broken clouds
160,Kangaatsiaq,68.3065,-53.4641,5.4,92,100,10.29,GL,light snow
161,Pangai,-19.8,-174.35,81.09,75,99,10.42,TO,light rain
162,Dingle,10.9995,122.6711,74.5,93,82,3.42,PH,broken clouds
163,Fare,-16.7,-151.0167,80.35,72,18,9.53,PF,few clouds
164,Sorland,67.667,12.6934,33.66,45,97,8.59,NO,overcast clouds
165,Copala,16.65,-98.9833,84.74,58,5,10.51,MX,clear sky
166,San-Pedro,4.7485,-6.6363,80.04,84,24,7.47,CI,few clouds
167,Boa Vista,2.8197,-60.6733,93.18,33,40,14.97,BR,scattered clouds
168,Monchegorsk,67.9397,32.8739,1.54,98,62,2.3,RU,broken clouds
169,Vestmannaeyjar,63.4427,-20.2734,31.55,62,100,39.03,IS,snow
170,Naze,28.3667,129.4833,52.29,68,89,19.39,JP,overcast clouds
