City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
163,Fare,PF,80.35,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
165,Copala,MX,84.74,clear sky,16.65,-98.9833,Kaak Naab Playa Ventura
166,San-Pedro,CI,80.04,few clouds,4.7485,-6.6363,Hotel Maria
172,Honiara,SB,80.46,moderate rain,-9.4333,159.95,Heritage Park Hotel
174,Omboue,GA,78.94,light rain,-1.5746,9.2618,Hotel Olako
180,Tutoia,BR,85.98,overcast clouds,-2.7619,-42.2744,Pousada Guará's
181,Faanui,PF,80.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
187,Buala,SB,81.34,light rain,-8.145,159.5921,Maringe Lagoon Lodge
194,Canutama,BR,80.74,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
198,Nisia Floresta,BR,83.21,few clouds,-6.0911,-35.2086,Rancho Crepusculo
203,Itaituba,BR,77.7,overcast clouds,-4.2761,-55.9836,Hotel Campos
212,Sechura,PE,78.98,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
215,Santo Domingo,DO,87.44,few clouds,18.5001,-69.9886,Cabañas City Heart
219,Gigmoto,PH,76.86,scattered clouds,13.7796,124.39,Cj's Travellers Inn
220,Biak,ID,75.88,overcast clouds,-0.9131,122.8766,Penginapan Kim
221,Bubaque,GW,78.13,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
224,Waingapu,ID,78.13,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
227,San Miguelito,PA,89.42,scattered clouds,9.0333,-79.5,Conferencista Jose Pepe Quijada
232,Souillac,MU,78.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
234,Kontagora,NG,77.9,overcast clouds,10.3999,5.4695,Queens Guest Inn
237,Chimbarongo,CL,83.28,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
241,Alyangula,AU,82.17,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
246,Port-Gentil,GA,81.32,overcast clouds,-0.7193,8.7815,Fengshui Residence
252,Dolores,AR,82.99,scattered clouds,-36.3132,-57.6792,Apart Hotel - Arianos
255,Kieta,PG,80.71,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
258,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
262,Gizo,SB,82.96,light rain,-8.103,156.8419,Imagination Island
265,Mercedes,AR,88.86,clear sky,-34.6515,-59.4307,Posada del Inti Centro
273,Minna,NG,79.99,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
277,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
286,Sorong,ID,81.1,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
287,Caravelas,BR,80.37,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
291,Kimbe,PG,77.14,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
296,Inhambane,MZ,75.16,overcast clouds,-23.865,35.3833,Oceano
297,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
306,Paita,PE,79.36,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
308,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
311,Santo Augusto,BR,86.07,scattered clouds,-27.8508,-53.7772,Hotel Marco Polo
312,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
316,Kikwit,CD,76.35,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
318,Cabo San Lucas,MX,80.91,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
319,Varkkallai,IN,80.38,clear sky,8.7341,76.7067,Hindustan Beach Retreat
321,Vao,NC,79.02,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
326,Koutiala,ML,80.49,few clouds,12.3917,-5.4642,Hotel La Chaumiere
329,Yenagoa,NG,75.76,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
333,Banda Aceh,ID,76.53,broken clouds,5.5577,95.3222,Sulthan Hotel International
338,Quelimane,MZ,75.06,clear sky,-17.8786,36.8883,Hotel Flamingo
