City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Salalah,17.0151,54.0924,75.29,38,0,14.97,OM,2022-01-29 00:08:30
1,Palmer,42.1584,-72.3287,30.07,70,75,3.44,US,2022-01-29 00:08:24
2,Chuy,-33.6971,-53.4616,64.67,72,38,6.67,UY,2022-01-29 00:04:46
3,Palu,-0.8917,119.8707,78.8,85,100,1.81,ID,2022-01-29 00:08:31
4,Upernavik,72.7868,-56.1549,4.06,68,100,6.87,GL,2022-01-29 00:08:31
5,Ushuaia,-54.8,-68.3,56.86,67,75,6.91,AR,2022-01-29 00:05:20
6,Mana,5.6592,-53.7767,76.3,80,30,8.23,GF,2022-01-29 00:06:13
7,Bluff,-46.6,168.3333,60.96,64,93,6.31,NZ,2022-01-29 00:08:32
8,Meulaboh,4.1363,96.1285,77.7,88,63,2.51,ID,2022-01-29 00:08:33
9,Cape Town,-33.9258,18.4232,66.34,68,0,7.0,ZA,2022-01-29 00:08:33
10,Luderitz,-26.6481,15.1594,68.83,72,3,28.1,NA,2022-01-29 00:08:34
11,Punta Arenas,-53.15,-70.9167,68.11,22,0,8.05,CL,2022-01-29 00:08:34
12,Bredasdorp,-34.5322,20.0403,59.29,64,76,10.56,ZA,2022-01-29 00:08:35
13,Butaritari,3.0707,172.7902,81.82,79,55,16.42,KI,2022-01-29 00:08:36
14,Byron Bay,-28.65,153.6167,84.06,73,62,8.61,AU,2022-01-29 00:07:18
15,Esperance,-33.8667,121.9,69.19,60,0,12.84,AU,2022-01-29 00:05:52
16,Awjilah,29.1081,21.2869,54.0,72,46,7.43,LY,2022-01-29 00:08:21
17,Nikel,69.4128,30.222,15.98,96,100,4.03,RU,2022-01-29 00:08:37
18,Norman Wells,65.282,-126.8329,-7.47,98,100,5.44,CA,2022-01-29 00:08:38
19,Torbay,47.6666,-52.7314,27.57,85,91,1.99,CA,2022-01-29 00:05:29
20,Nikolskoye,59.7035,30.7861,24.69,95,100,7.92,RU,2022-01-29 00:08:38
21,Hilo,19.7297,-155.09,82.13,65,40,13.8,US,2022-01-29 00:05:17
22,Izumo,35.3667,132.7667,43.83,57,100,9.28,JP,2022-01-29 00:08:39
23,Koksovyy,48.1967,40.5989,32.85,98,100,16.06,RU,2022-01-29 00:08:40
